evidence_id,person,role_period,category,indicator,metric_value,metric_unit,metric_year,geography,claim_summary,source_id,evidence_type,confidence,attribution_note,title,organization,url,reliability_tier,evidence_score,source_available,data_quality_flag
EV001,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Economy,ICT sector GDP contribution,14.42,percent_of_gdp,2021,Nigeria,NCC-linked statement reported ICT contribution to GDP at 14.42 percent in Q2 2021.,SRC003,quantitative,0.88,Attribution is sector-level under ministry/regulatory ecosystem; not sole-person causation.,Nigeria's Active Internet Subscribers Hit 140m - NCC,Nigerian Investment Promotion Commission / NCC statement,https://www.nipc.gov.ng/2021/12/06/nigerias-active-internet-subscribers-hit-140m-ncc/,official,84.8,True,source_backed_quantitative
EV002,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,Broadband penetration,40.01,percent,2021,Nigeria,NCC-linked statement reported broadband penetration at 40.01 percent by September 2021.,SRC003,quantitative,0.88,"National telecom outcome; influenced by operators, regulator, market, and policy.",Nigeria's Active Internet Subscribers Hit 140m - NCC,Nigerian Investment Promotion Commission / NCC statement,https://www.nipc.gov.ng/2021/12/06/nigerias-active-internet-subscribers-hit-140m-ncc/,official,84.8,True,source_backed_quantitative
EV003,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,Broadband access,80.0,million_people,2021,Nigeria,Public report stated 80 million Nigerians had broadband access by December 2021.,SRC011,policy_target_context,0.65,Use as context unless verified against NCC statistical tables.,Nigerian National Broadband Plan 2020-2025,Federal Ministry of Communications and Digital Economy,https://fmcide.gov.ng/wp-content/uploads/2023/11/Nigerian-National-Broadband-Plan-2020-2025.pdf,official,54.2,True,source_backed_contextual
EV004,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Youth Empowerment,Digital skills beneficiaries,219000.0,people,2021,Nigeria,USPF ministry-achievements page reported more than 219000 direct digital skills beneficiaries.,SRC001,quantitative,0.78,Government achievement statement; requires project-level validation for beneficiary audit.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,76.3,True,source_backed_quantitative
EV005,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Infrastructure,ICT centres established,1667.0,centres,2021,Nigeria,USPF ministry-achievements page reported 1667 projects/centres established and 455 ongoing.,SRC001,quantitative,0.78,Government achievement statement; centre-level coordinates not included in source page.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,76.3,True,source_backed_quantitative
EV006,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Transparency,National identity enrolment,61.0,million_unique_enrolments,2021,Nigeria,USPF ministry-achievements page reported more than 61 million unique NIN enrolments.,SRC001,quantitative,0.76,National identity programme involved NIMC and multiple institutions.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,74.6,True,source_backed_quantitative
EV007,Prof. Isa Ali Ibrahim Pantami,NITDA DG 2016-2019 / Minister 2019-2023,Innovation,NITDA institutional development,,narrative,2021,Nigeria,NITDA article credited agency development and GDP relevance in the digital economy ecosystem.,SRC002,qualitative,0.68,Qualitative institutional context; not converted directly to a fabricated statistic.,NITDA at 20: NITDA's Achievements Contribute to Nation's GDP - Dr. Pantami,National Information Technology Development Agency,https://nitda.gov.ng/nitda-at-20-nitdas-achievements-contribute-to-nations-gdp-dr-pantami/4378/,official,37.4,True,source_backed_contextual
EV008,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Crisis Handling,COVID-era digital economy continuity,,narrative,2020,Nigeria,ICT sector growth during the recession period was cited in official achievements materials.,SRC001,qualitative,0.66,"Macro outcome; crisis score uses evidence presence and verifiability, not causation claim.",Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,36.3,True,source_backed_contextual
EV009,Prof. Isa Ali Ibrahim Pantami,Minister of Communications and Digital Economy 2019-2023,Public Utility Management,Utility-sector direct management,,not_applicable,2021,Nigeria,No direct electricity/water utility management role identified in the included public sources.,SRC001,insufficient_public_evidence,0.2,Excluded from positive score calculation except coverage penalty.,Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021,Universal Service Provision Fund,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,0.0,True,do_not_score_missing_data
EV010,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Public Utility Management,KEDCO franchise utility management,,narrative,2020,Kano Katsina Jigawa,Daily Trust interview described KEDCO service continuity and safety priorities during COVID-19.,SRC006,qualitative,0.7,Interview source; claims are attributed to the interview and should be validated against regulator data.,How we raised the bar on safe power supply at KEDCO - Dr Gwamna,Daily Trust,https://dailytrust.com/how-we-raised-the-bar-on-safe-power-supply-at-kedco-dr-gwamna/,media_interview,38.5,True,source_backed_contextual
EV011,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Crisis Handling,COVID-era electricity service continuity,,narrative,2020,Kano Katsina Jigawa,Interview stated KEDCO maintained public service delivery during COVID-19 and customers saw improved supply.,SRC006,qualitative,0.66,Self-reported in media interview; needs operational outage/supply-hour data for stronger scoring.,How we raised the bar on safe power supply at KEDCO - Dr Gwamna,Daily Trust,https://dailytrust.com/how-we-raised-the-bar-on-safe-power-supply-at-kedco-dr-gwamna/,media_interview,36.3,True,source_backed_contextual
EV012,Dr. Jamilu Isyaku Gwamna,KEDCO Managing Director / CEO,Infrastructure,Transformers and feeder construction,,project_activity,2022,Kano Katsina Jigawa,Blueprint reported inspection of new transformers/accessories and feeder construction to improve service delivery.,SRC008,project_report,0.68,Project activity reported in media; no independent completion audit in seed data.,Power: We're enhancing Kano DISCO's operations - KEDCO's CEO,Blueprint Newspapers,https://blueprint.ng/power-were-enhancing-kano-discos-operations-kedcos-ceo/,verified_journalism,46.24,True,source_backed_contextual
